candidate_id,operation,parameter_name,value,unit,value_range,scenario,domain,target_flow_slot,evidence_refs,support_count,denominator_count,promote_to_default,default_scope,confidence,notes
CAND_ATOM_effect_size_metric,effect_size_calculation,metric,"""Cohen_d | eta_squared | partial_eta_squared | omega_squared | Cliff_delta""",,,general,analysis,effect_size_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_effect_size_magnitude_thresholds,effect_size_calculation,magnitude_thresholds,"{""small"": 0.2, ""medium"": 0.5, ""large"": 0.8}",,,general,analysis,effect_size_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_multiple_comparison_correction_method,multiple_comparison_correction,method,"""Bonferroni | FDR_BH | FDR_BY | FWE_cluster | FWE_threshold | permutation | NBS""",,,general,analysis,multiple_comparison_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_multiple_comparison_correction_alpha,multiple_comparison_correction,alpha,0.05,,,general,analysis,multiple_comparison_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_multiple_comparison_correction_two_sided,multiple_comparison_correction,two_sided,true,,,general,analysis,multiple_comparison_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_roi_analysis_roi_method,roi_analysis,roi_method,"""mean | median | pca | weighted_average""",,,general,analysis,roi_analysis_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_roi_analysis_roi_atlas,roi_analysis,roi_atlas,"""anatomical | functional | custom""",,,general,analysis,roi_analysis_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_roi_analysis_extraction_method,roi_analysis,extraction_method,"""mean | peak | pca""",,,general,analysis,roi_analysis_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_laterality_index_formula,laterality_index,formula,"""LI = (L-R)/(L+R)""",,,general,analysis,laterality_slot,synthesis_of_statistical_practices,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_laterality_index_hemisphere_atlas,laterality_index,hemisphere_atlas,"""anatomical | functional | custom""",,,general,analysis,laterality_slot,synthesis_of_statistical_practices,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_laterality_index_interpretation_thresholds,laterality_index,interpretation_thresholds,"{""lateralized"": 0.2, ""bilateral"": [-0.2, 0.2]}",,,general,analysis,laterality_slot,synthesis_of_statistical_practices,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_correlation_analysis_method,correlation_analysis,method,"""Pearson | Spearman | Kendall | partial_correlation""",,,general,analysis,correlation_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_correlation_analysis_alternative,correlation_analysis,alternative,"""two-sided""",,,general,analysis,correlation_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_correlation_analysis_ci_level,correlation_analysis,ci_level,0.95,,,general,analysis,correlation_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_permutation_test_n_permutations,permutation_test,n_permutations,10000,,,general,analysis,permutation_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_permutation_test_test_type,permutation_test,test_type,"""independent | paired | cluster""",,,general,analysis,permutation_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_permutation_test_correction,permutation_test,correction,"""max_stat | cluster | tfce""",,,general,analysis,permutation_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_permutation_test_seed,permutation_test,seed,"""reproducible_random_seed""",,,general,analysis,permutation_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_level_glm_model_type,group_level_glm,model_type,"""random_effects | mixed_effects | fixed_effects""",,,general,analysis,group_glm_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_level_glm_group_covariates,group_level_glm,group_covariates,"""age | sex | handedness | clinical_score""",,,general,analysis,group_glm_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_level_glm_contrast_type,group_level_glm,contrast_type,"""one_sample_t | two_sample_t | paired_t | regression""",,,general,analysis,group_glm_slot,synthesis_of_statistical_practices,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_reliability_analysis_method,reliability_analysis,method,"""ICC | Cronbach_alpha | test_retest | split_half""",,,general,analysis,reliability_slot,synthesis_of_statistical_practices,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_reliability_analysis_icc_type,reliability_analysis,icc_type,"""ICC_2_1 | ICC_3_1 | ICC_2_k""",,,general,analysis,reliability_slot,synthesis_of_statistical_practices,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_reliability_analysis_alpha,reliability_analysis,alpha,0.05,,,general,analysis,reliability_slot,synthesis_of_statistical_practices,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_spline_motion_correction_spline_order,spline_motion_correction,spline_order,3,,,general,preprocessing,motion_correction_slot,Homer3_hmrR_MotionCorrectSpline,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_spline_motion_correction_motion_threshold,spline_motion_correction,motion_threshold,0.6,,,general,preprocessing,motion_correction_slot,Homer3_hmrR_MotionCorrectSpline,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_spline_motion_correction_interpolation_method,spline_motion_correction,interpolation_method,"""cubic_spline""",,,general,preprocessing,motion_correction_slot,Homer3_hmrR_MotionCorrectSpline,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_artifact_detection_method,artifact_detection,method,"""sd_threshold | amplitude_threshold | combined""",,,general,qc,signal_qc_slot,Homer3_hmrR_MotionArtifactByChannel,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_artifact_detection_sd_threshold,artifact_detection,sd_threshold,6,,,general,qc,signal_qc_slot,Homer3_hmrR_MotionArtifactByChannel,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_artifact_detection_amplitude_threshold_uM,artifact_detection,amplitude_threshold_uM,0.1,,,general,qc,signal_qc_slot,Homer3_hmrR_MotionArtifactByChannel,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_artifact_detection_min_artifact_duration_s,artifact_detection,min_artifact_duration_s,0.1,,,general,qc,signal_qc_slot,Homer3_hmrR_MotionArtifactByChannel,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_pca_denoising_n_components,pca_denoising,n_components,"""auto""",,,general,preprocessing,motion_correction_slot,Homer3_hmrR_PCAFilter,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_pca_denoising_variance_threshold,pca_denoising,variance_threshold,0.95,,,general,preprocessing,motion_correction_slot,Homer3_hmrR_PCAFilter,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_pca_denoising_apply_to,pca_denoising,apply_to,"""short_channels""",,,general,preprocessing,motion_correction_slot,Homer3_hmrR_PCAFilter,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_block_average_baseline_correction,block_average,baseline_correction,"""pre_stimulus""",,,task_based,analysis,block_average_slot,Homer3_hmrR_BlockAvg,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_block_average_baseline_window_s,block_average,baseline_window_s,"[-5, 0]",,,task_based,analysis,block_average_slot,Homer3_hmrR_BlockAvg,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_block_average_exclude_artifact_trials,block_average,exclude_artifact_trials,true,,,task_based,analysis,block_average_slot,Homer3_hmrR_BlockAvg,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_block_average_grand_average,block_average,grand_average,false,,,task_based,analysis,block_average_slot,Homer3_hmrR_BlockAvg,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_glm_with_drift_hrf_model,glm_with_drift,hrf_model,"""canonical | canonical_with_derivative | fir""",,,task_based,analysis,task_glm_slot,Homer3_hmrR_GLM,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_glm_with_drift_drift_order,glm_with_drift,drift_order,3,,,task_based,analysis,task_glm_slot,Homer3_hmrR_GLM,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_glm_with_drift_short_channel_regression,glm_with_drift,short_channel_regression,true,,,task_based,analysis,task_glm_slot,Homer3_hmrR_GLM,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_glm_with_drift_autocorrelation_model,glm_with_drift,autocorrelation_model,"""ar1 | none""",,,task_based,analysis,task_glm_slot,Homer3_hmrR_GLM,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_glm_with_drift_basis_function,glm_with_drift,basis_function,"""hrf | hrf_derivative | fir""",,,task_based,analysis,task_glm_slot,Homer3_hmrR_GLM,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_detrending_method,detrending,method,"""linear | polynomial | wavelet_mdl | spline""",,,general,preprocessing,filter_slot,NIRS_SPM_detrend_wavelet_MDL,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_detrending_polynomial_order,detrending,polynomial_order,2,,,general,preprocessing,filter_slot,NIRS_SPM_detrend_wavelet_MDL,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_detrending_wavelet_level,detrending,wavelet_level,10,,,general,preprocessing,filter_slot,NIRS_SPM_detrend_wavelet_MDL,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_hpf_lpf_filter_hpf_cutoff_hz,hpf_lpf_filter,hpf_cutoff_hz,0.01,,,general,preprocessing,filter_slot,NIRS_SPM_spm_filter_HPF_LPF,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_hpf_lpf_filter_lpf_cutoff_hz,hpf_lpf_filter,lpf_cutoff_hz,0.5,,,general,preprocessing,filter_slot,NIRS_SPM_spm_filter_HPF_LPF,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_hpf_lpf_filter_hpf_method,hpf_lpf_filter,hpf_method,"""dct | butterworth | sinc""",,,general,preprocessing,filter_slot,NIRS_SPM_spm_filter_HPF_LPF,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_hpf_lpf_filter_lpf_method,hpf_lpf_filter,lpf_method,"""gaussian | butterworth | hrf_convolution""",,,general,preprocessing,filter_slot,NIRS_SPM_spm_filter_HPF_LPF,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_hpf_lpf_filter_filter_order,hpf_lpf_filter,filter_order,5,,,general,preprocessing,filter_slot,NIRS_SPM_spm_filter_HPF_LPF,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_precoloring_ar_order,precoloring,ar_order,1,,,general,analysis,analysis_preprocessing_slot,NIRS_SPM_precoloring,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_precoloring_method,precoloring,method,"""precoloring | prewhitening""",,,general,analysis,analysis_preprocessing_slot,NIRS_SPM_precoloring,,,no,,medium,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_group_glm_nirs_spm_model_type,group_glm_nirs_spm,model_type,"""random_effects""",,,general,analysis,group_glm_slot,NIRS_SPM_nirs_spm_group,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_group_glm_nirs_spm_group_contrast,group_glm_nirs_spm,group_contrast,"""one_sample_t | two_sample_t""",,,general,analysis,group_glm_slot,NIRS_SPM_nirs_spm_group,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_group_glm_nirs_spm_smoothness_estimate,group_glm_nirs_spm,smoothness_estimate,"""precoloring | prewhitening""",,,general,analysis,group_glm_slot,NIRS_SPM_nirs_spm_group,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_sensitivity_analysis_mc_iterations,sensitivity_analysis,mc_iterations,10000,,,general,analysis,sensitivity_slot,SPM_DCM_fnirs_sensitivity,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_sensitivity_analysis_mu_a_range,sensitivity_analysis,mu_a_range,"[0.01, 0.1]",,,general,analysis,sensitivity_slot,SPM_DCM_fnirs_sensitivity,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_sensitivity_analysis_mu_s_range,sensitivity_analysis,mu_s_range,"[1.0, 10.0]",,,general,analysis,sensitivity_slot,SPM_DCM_fnirs_sensitivity,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_sensitivity_analysis_head_model,sensitivity_analysis,head_model,"""semi_infinite | layered""",,,general,analysis,sensitivity_slot,SPM_DCM_fnirs_sensitivity,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_dcm_fnirs_model_type,dcm_fnirs,model_type,"""bilinear | nonlinear""",,,general,analysis,effective_connectivity_slot,SPM_DCM_fnirs_estimate,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_dcm_fnirs_hemodynamic_model,dcm_fnirs,hemodynamic_model,"""spm | hrf""",,,general,analysis,effective_connectivity_slot,SPM_DCM_fnirs_estimate,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_dcm_fnirs_pial_vein_correction,dcm_fnirs,pial_vein_correction,true,,,general,analysis,effective_connectivity_slot,SPM_DCM_fnirs_estimate,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_dcm_fnirs_estimation_method,dcm_fnirs,estimation_method,"""variational_bayes""",,,general,analysis,effective_connectivity_slot,SPM_DCM_fnirs_estimate,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_cross_correlation_max_lag_s,cross_correlation,max_lag_s,5,,,resting_state,analysis,resting_connectivity_slot,Homer3_hmrR_CrossCorrelation,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_cross_correlation_significance_method,cross_correlation,significance_method,"""permutation | analytical""",,,resting_state,analysis,resting_connectivity_slot,Homer3_hmrR_CrossCorrelation,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_cross_correlation_n_permutations,cross_correlation,n_permutations,1000,,,resting_state,analysis,resting_connectivity_slot,Homer3_hmrR_CrossCorrelation,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_hardware_import_supported_formats,hardware_import,supported_formats,"""NIRx | Hitachi | ISS | Shimadzu | Artinis | Gowerlabs | BOXY | SNIRF""",,,general,data_import,data_import_slot,NIRS_SPM_NIRS_Data_Conversion,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_hardware_import_dpf_correction,hardware_import,dpf_correction,true,,,general,data_import,data_import_slot,NIRS_SPM_NIRS_Data_Conversion,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_hardware_import_wavelength_validation,hardware_import,wavelength_validation,true,,,general,data_import,data_import_slot,NIRS_SPM_NIRS_Data_Conversion,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_combat_harmonization_method,combat_harmonization,method,"""ComBat""",,,general,preprocessing,harmonization_slot,Fortin2017_NeuroImage|Fortin2018_NeuroImage|Johnson2007_Biostatistics,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_combat_harmonization_eb,combat_harmonization,eb,true,,,general,preprocessing,harmonization_slot,Fortin2017_NeuroImage|Fortin2018_NeuroImage|Johnson2007_Biostatistics,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_combat_harmonization_parametric,combat_harmonization,parametric,true,,,general,preprocessing,harmonization_slot,Fortin2017_NeuroImage|Fortin2018_NeuroImage|Johnson2007_Biostatistics,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_combat_harmonization_mean_only,combat_harmonization,mean_only,false,,,general,preprocessing,harmonization_slot,Fortin2017_NeuroImage|Fortin2018_NeuroImage|Johnson2007_Biostatistics,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_combat_harmonization_ref_batch,combat_harmonization,ref_batch,null,,,general,preprocessing,harmonization_slot,Fortin2017_NeuroImage|Fortin2018_NeuroImage|Johnson2007_Biostatistics,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_combat_harmonization_covariates_to_preserve,combat_harmonization,covariates_to_preserve,"""biological_variables (e.g. age, sex, disease_status)""",,,general,preprocessing,harmonization_slot,Fortin2017_NeuroImage|Fortin2018_NeuroImage|Johnson2007_Biostatistics,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_combat_harmonization_implementations,combat_harmonization,implementations,"""Python (neuroCombat) | R (sva/ComBatHarmonization) | MATLAB""",,,general,preprocessing,harmonization_slot,Fortin2017_NeuroImage|Fortin2018_NeuroImage|Johnson2007_Biostatistics,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_one_sample_ttest_popmean,one_sample_ttest,popmean,0,,,general,analysis,group_comparison_slot,MNE_ttest_1samp,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_one_sample_ttest_alternative,one_sample_ttest,alternative,"""two-sided""",,,general,analysis,group_comparison_slot,MNE_ttest_1samp,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_independent_ttest_equal_var,independent_ttest,equal_var,true,,,general,analysis,group_comparison_slot,MNE_ttest_ind,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_independent_ttest_alternative,independent_ttest,alternative,"""two-sided""",,,general,analysis,group_comparison_slot,MNE_ttest_ind,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_paired_ttest_alternative,paired_ttest,alternative,"""two-sided""",,,general,analysis,group_comparison_slot,Homer3_hmrG_t_paired,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_welch_ttest_equal_var,welch_ttest,equal_var,false,,,general,analysis,group_comparison_slot,scipy_welch,,,no,,high,parameter_status=reported; retained as evidence candidate unless project_default.
CAND_ATOM_welch_ttest_alternative,welch_ttest,alternative,"""two-sided""",,,general,analysis,group_comparison_slot,scipy_welch,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_one_way_anova_equal_var,one_way_anova,equal_var,true,,,general,analysis,group_comparison_slot,MNE_f_oneway,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_repeated_measures_anova_correction,repeated_measures_anova,correction,"""Greenhouse-Geisser""",,,general,analysis,group_comparison_slot,MNE_f_mway_rm,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_repeated_measures_anova_sphericity_test,repeated_measures_anova,sphericity_test,true,,,general,analysis,group_comparison_slot,MNE_f_mway_rm,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_mixed_anova_within_factor,mixed_anova,within_factor,"""""",,,general,analysis,group_comparison_slot,pingouin_mixed_anova,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_mixed_anova_between_factor,mixed_anova,between_factor,"""""",,,general,analysis,group_comparison_slot,pingouin_mixed_anova,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_mixed_anova_correction,mixed_anova,correction,"""Greenhouse-Geisser""",,,general,analysis,group_comparison_slot,pingouin_mixed_anova,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_two_way_anova_factor_a,two_way_anova,factor_a,"""""",,,general,analysis,group_comparison_slot,scipy_two_way_anova,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_two_way_anova_factor_b,two_way_anova,factor_b,"""""",,,general,analysis,group_comparison_slot,scipy_two_way_anova,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
CAND_ATOM_two_way_anova_interaction,two_way_anova,interaction,true,,,general,analysis,group_comparison_slot,scipy_two_way_anova,,,no,,high,parameter_status=candidate; retained as evidence candidate unless project_default.
