link_id,evidence_ref,target_object_type,target_object_id,evidence_use,confidence,quote_or_summary,source_id,notes
EVLINK_0075,EQ_PMC8886122_01,background_only,,background_only,high,Chronic intervention effects (multiple sessions) were greater than acute intervention effects (single session).,SRC_PMC8886122,From results_claims.CLM_PMC8886122_01
EVLINK_0076,EQ_PMC8886122_02,background_only,,background_only,high,"studies found physical activity/movement intervention-related changes in neural activity, indicating normalization of cortical arousal in individuals with attention-deficit /hyperactivity disorder (AD",SRC_PMC8886122,From results_claims.CLM_PMC8886122_02
EVLINK_0077,EQ_PMC7827826_01,background_only,,background_only,high,"despite the lower Signal-to-Noise Ratio (SNR) of the EEG data that makes pre-processing of that data mandatory, we have found that the pre-processing has only been used in 21.28% of the cases by showi",SRC_PMC7827826,From results_claims.CLM_PMC7827826_01
EVLINK_0078,EQ_PMC2761652_01,background_only,,background_only,high,NIRS offers a higher temporal resolution and additional spectroscopic information about both oxyhemoglobin and deoxyhemoglobin changes in comparison with fMRI.,SRC_PMC2761652,From results_claims.CLM_PMC2761652_01
EVLINK_0079,EQ_PMC8888846_01,background_only,ATOM_first_level_glm,background_only,high,We found substantial evidence that surgical expertise can be delineated by differential activation and connectivity in the prefrontal cortex (PFC) across multiple task and neuroimaging modalities.,SRC_PMC8888846,From results_claims.CLM_PMC8888846_01
EVLINK_0080,EQ_PMC8881080_01,background_only,,background_only,high,"The advantages of using DL for DOI versus conventional inverse solvers cited in the literature reviewed herein are numerous. These include, among others, a decrease in analysis time (often by many ord",SRC_PMC8881080,From results_claims.CLM_PMC8881080_01
EVLINK_0082,EQ_PMC4309034_01,background_only,,background_only,high,"In relation to the prefrontal cortex, fNIRS showed a significant advantage due to no hair in detecting the cognitive tasks like mental arithmetic, music imagery, emotion induction, etc.",SRC_PMC4309034,From results_claims.CLM_PMC4309034_01
EVLINK_0083,EQ_PMC13290608_01,background_only,,background_only,high,"The results showed that the TMS-fNIRS combined protocol was safe and feasible, with six of the nine interventional studies reporting statistically significant improvements in motor function.",SRC_PMC13290608,From results_claims.CLM_PMC13290608_01
EVLINK_0084,EQ_PMC13290608_02,background_only,,background_only,high,"effective TMS interventions could enhance the activation of the ipsilesional primary motor cortex, facilitate the restoration of interhemispheric balance, and improve local and interhemispheric functi",SRC_PMC13290608,From results_claims.CLM_PMC13290608_02
EVLINK_0085,EQ_PMC13169947_01,background_only,,background_only,high,"Qualitative synthesis indicated that skilled ball kicking performance was generally accompanied by phase-specific cortical dynamics (e.g., within frontal, sensorimotor/central, and parieto-occipital r",SRC_PMC13169947,From results_claims.CLM_PMC13169947_01
EVLINK_0086,EQ_PMC13030400_01,background_only,,background_only,high,"Multimodal neuroimaging techniques, namely electroencephalography (EEG), functional magnetic resonance imaging (fMRI), and functional near-infrared spectroscopy (fNIRS), can non-invasively quantify ne",SRC_PMC13030400,From results_claims.CLM_PMC13030400_02
EVLINK_0087,EQ_PMC12680975_01,background_only,,background_only,high,se observa una alteración de CPFDL izquierda lo que puede ser indicador de patología y una activación CPFDL derecha ante estímulos agradables,SRC_PMC12680975,From results_claims.CLM_PMC12680975_01
EVLINK_0088,EQ_PMC11958174_01,background_only,,background_only,high,Combining fMRI's high spatial resolution with fNIRs's superior temporal resolution and portability enables robust spatiotemporal mapping of neural activity.,SRC_PMC11958174,From results_claims.CLM_PMC11958174_01
EVLINK_0089,EQ_PMC10790870_01,background_only,,background_only,high,"Novice surgeons exhibit greater haemodynamic responses across the pre-frontal cortex than experts during simple surgical tasks, whilst expert surgical performance is characterized by relative prefront",SRC_PMC10790870,From results_claims.CLM_PMC10790870_01
EVLINK_0090,EQ_PMC10259670_01,background_only,,background_only,high,"To facilitate the broader use of predictive models in FIT neuroimaging, we present a brief systematic review and primer on the methods used in current predictive modeling FIT studies.",SRC_PMC10259670,From results_claims.CLM_PMC10259670_01
EVLINK_0091,EQ_PMC9277676_01,background_only,,background_only,high,"The majority of studies investigated gait, showing that slower gait was associated with smaller hippocampal volume and prefrontal deactivation.",SRC_PMC9277676,From results_claims.CLM_PMC9277676_01
EVLINK_0092,EQ_PMC8517226_01,background_only,,background_only,high,"Across all studies, fNIRS demonstrated reduced cerebral hemodynamic changes in suicidal individuals when compared to non-suicidal individuals.",SRC_PMC8517226,From results_claims.CLM_PMC8517226_01
EVLINK_0093,EQ_PMC8081903_01,background_only,,background_only,high,"From birth, musical stimuli elicit distinct but immature electrical responses, with components of the auditory evoked response having longer latencies and variable amplitudes compared to their adult c",SRC_PMC8081903,From results_claims.CLM_PMC8081903_01
EVLINK_0094,EQ_PMC7893520_01,background_only,,background_only,high,"Though it is not without inherent challenges, fNIRS may have advantages over other neuroimaging techniques in the areas of speech and language impairment.",SRC_PMC7893520,From results_claims.CLM_PMC7893520_01
EVLINK_0095,EQ_PMC7232562_01,background_only,,background_only,high,fNIRS consistently demonstrated attenuated cerebral hemodynamic changes in depressed compared to healthy individuals.,SRC_PMC7232562,From results_claims.CLM_PMC7232562_01
EVLINK_0096,EQ_PMC6721320_01,background_only,,background_only,high,"Unlike fMRI, PET and SPECT, which are secondary measures of metabolism over much longer time scales, MEG directly measures neuronal activities associated with various brain functions of interest.",SRC_PMC6721320,From results_claims.CLM_PMC6721320_01
EVLINK_0097,EQ_PMC13275668_01,background_only,,background_only,high,"Across modalities, the most consistent pattern was the co-occurrence of favorable psychological or cognitive-emotional findings with Tai Chi-related neural change.",SRC_PMC13275668,From results_claims.CLM_PMC13275668_01
EVLINK_0098,EQ_PMC13273974_01,background_only,,background_only,high,"Oppositionality involved limbic-striatal and cerebello-cortical differences, with ODD+ADHD showing greater executive and emotion-processing deficits than ADHD alone.",SRC_PMC13273974,From results_claims.CLM_PMC13273974_01
EVLINK_0099,EQ_PMC13013050_01,background_only,,background_only,high,fNIRS studies reported increased activation in the left dorsolateral prefrontal cortex after art therapy.,SRC_PMC13013050,From results_claims.CLM_PMC13013050_01
EVLINK_0100,EQ_PMC12861188_01,background_only,,background_only,high,fNIRS studies found increased activation in the superior temporal sulcus-temporoparietal junction and prefrontal regions of the brain.,SRC_PMC12861188,From results_claims.CLM_PMC12861188_01
EVLINK_0101,EQ_PMC12014625_01,background_only,,background_only,high,ROI activation levels differed inconsistently between patients with MCI and individuals with normal cognition across studies.,SRC_PMC12014625,From results_claims.CLM_PMC12014625_01
EVLINK_0102,EQ_PMC11042249_01,background_only,,background_only,high,"Our results indicated that exercise interventions alter oxygenated hemoglobin levels in the prefrontal cortex and motor cortex, which are associated with improvements in higher cognitive functions.",SRC_PMC11042249,From results_claims.CLM_PMC11042249_01
EVLINK_0103,EQ_PMC11016629_01,background_only,,background_only,high,"MCI patients exhibited reduced resting-state FC, predominantly in the prefrontal, parietal, and occipital cortex.",SRC_PMC11016629,From results_claims.CLM_PMC11016629_01
EVLINK_0104,EQ_PMC11016629_02,background_only,,background_only,high,"fNIRS effectively identified abnormalities in FC between MCI and HC, indicating disrupted FC as potential markers for the early detection of MCI.",SRC_PMC11016629,From results_claims.CLM_PMC11016629_02
EVLINK_0105,EQ_PMC10469683_01,background_only,,background_only,high,"Compared to LL infants, EL infants exhibited (1) atypical language-related neural lateralization; (2) alterations in structural and functional connectivity; and (3) mixed profiles of neural sensitivit",SRC_PMC10469683,From results_claims.CLM_PMC10469683_01
EVLINK_0106,EQ_PMC10169732_01,background_only,,background_only,high,"Although it is demonstrated that neural correlates of meaningful activities can be measured objectively by neurophysiological registration techniques, ""meaning"" as such has not yet been investigated e",SRC_PMC10169732,From results_claims.CLM_PMC10169732_01
EVLINK_0107,EQ_PMC9980909_01,background_only,ATOM_first_level_glm,background_only,high,"The primary analysis showed more significant PFC activation in stroke patients performing dual-task walking than single-task walking (SMD = 0.340, P = 0.02, I2 = 7.853%, 95% CI = 0.054–0.626).",SRC_PMC9980909,From results_claims.CLM_PMC9980909_01
EVLINK_0108,EQ_PMC12394262_01,background_only,,background_only,high,Review explicitly states no studies used rs-fNIRS. Primarily about fMRI (1.5T or 3T scanners).,SRC_PMC12394262,From risk_register.RSK_PMC12394262_01
EVLINK_0109,EQ_PMC11528424_01,background_only,,background_only,high,"Not primarily about fNIRS. MEG, PET, fMRI more prominent.",SRC_PMC11528424,From risk_register.RSK_PMC11528424_01
EVLINK_0110,EQ_PMC12011959_01,background_only,,background_only,high,Clinical NIRS monitoring (CrSO2) in neonates during resuscitation. NOT functional fNIRS brain imaging.,SRC_PMC12011959,From risk_register.RSK_PMC12011959_01
EVLINK_0111,EQ_PMC12080153_01,background_only,,background_only,high,Clinical NIRS monitoring in neonatal transfusion. NOT functional fNIRS brain imaging.,SRC_PMC12080153,From risk_register.RSK_PMC12080153_01
EVLINK_0112,EQ_PMC11688251_01,background_only,,background_only,high,Clinical NIRS monitoring in pediatric CHD. NOT functional fNIRS brain imaging.,SRC_PMC11688251,From risk_register.RSK_PMC11688251_01
EVLINK_0113,EQ_PMC12340143_01,background_only,,background_only,high,The heterogeneity of the results together with the lack of a clear and consistent association between RSO2 values and AKI currently preclude recommending NIRS monitoring.,SRC_PMC12340143,From risk_register.RSK_PMC12340143_01
EVLINK_0114,EQ_PMC12619181_01,background_only,,background_only,high,Clinical NIRS monitoring in aSAH. NOT functional fNIRS brain imaging.,SRC_PMC12619181,From risk_register.RSK_PMC12619181_01
EVLINK_0115,EQ_PMC12744649_01,background_only,,background_only,high,Clinical NIRS monitoring in OHCA. NOT functional fNIRS brain imaging.,SRC_PMC12744649,From risk_register.RSK_PMC12744649_01
EVLINK_0116,EQ_PMC13049829_01,background_only,,background_only,high,Clinical NIRS monitoring (rSO2) in neonatal PDA. NOT functional fNIRS brain imaging.,SRC_PMC13049829,From risk_register.RSK_PMC13049829_01
EVLINK_0117,EQ_PMC13075027_01,background_only,,background_only,high,Clinical NIRS monitoring during CPR. NOT functional fNIRS brain imaging.,SRC_PMC13075027,From risk_register.RSK_PMC13075027_01
EVLINK_0118,EQ_PMC1764902_01,background_only,,background_only,high,Primarily about TCD monitoring. Mentions NIRS as complementary tool. NOT functional fNIRS.,SRC_PMC1764902,From risk_register.RSK_PMC1764902_01
EVLINK_0119,EQ_PMC3863709_01,background_only,,background_only,high,Clinical NIRS monitoring in cardiac surgery. NOT functional fNIRS brain imaging.,SRC_PMC3863709,From risk_register.RSK_PMC3863709_01
EVLINK_0120,EQ_PMC5595187_01,background_only,,background_only,high,Clinical NIRS monitoring in cardiac surgery. NOT functional fNIRS brain imaging.,SRC_PMC5595187,From risk_register.RSK_PMC5595187_01
EVLINK_0121,EQ_PMC5960703_01,background_only,,background_only,high,Clinical NIRS monitoring in neonates. NOT functional fNIRS brain imaging.,SRC_PMC5960703,From risk_register.RSK_PMC5960703_01
EVLINK_0122,EQ_PMC6491319_01,background_only,,background_only,high,Clinical NIRS monitoring (cerebral oximetry) in surgery. NOT functional fNIRS brain imaging.,SRC_PMC6491319,From risk_register.RSK_PMC6491319_01
EVLINK_0123,EQ_PMC7267214_01,background_only,,background_only,high,Clinical NIRS monitoring in HIE. NOT functional fNIRS brain imaging.,SRC_PMC7267214,From risk_register.RSK_PMC7267214_01
